query_id,query_type,configuration,candidate_count,candidate_rel0,candidate_rel1,candidate_rel2,candidate_relevant_ge_1
q050,attribute,bm25_minilm,39,37,0,2,2
q050,attribute,minilm_qwen3,30,28,0,2,2
q050,attribute,bm25_minilm_qwen3,42,40,0,2,2
q051,entity_lexical,minilm,25,17,3,5,8
q051,entity_lexical,qwen3,25,17,3,5,8
q051,entity_lexical,bm25_minilm,37,29,3,5,8
q051,entity_lexical,minilm_qwen3,34,26,3,5,8
q051,entity_lexical,bm25_minilm_qwen3,45,37,3,5,8
q052,semantic_recommendation,minilm,25,9,3,13,16
q052,semantic_recommendation,qwen3,25,11,3,11,14
q052,semantic_recommendation,bm25_minilm,38,16,7,15,22
q052,semantic_recommendation,minilm_qwen3,31,12,6,13,19
q052,semantic_recommendation,bm25_minilm_qwen3,42,18,9,15,24
q053,attribute,minilm,25,17,5,3,8
q053,attribute,qwen3,25,19,4,2,6
q053,attribute,bm25_minilm,36,28,5,3,8
q053,attribute,minilm_qwen3,35,27,5,3,8
q053,attribute,bm25_minilm_qwen3,45,37,5,3,8
q054,entity_lexical,minilm,25,22,0,3,3
q054,entity_lexical,qwen3,25,22,0,3,3
q054,entity_lexical,bm25_minilm,37,34,0,3,3
q054,entity_lexical,minilm_qwen3,37,34,0,3,3
q054,entity_lexical,bm25_minilm_qwen3,47,44,0,3,3
q055,semantic_recommendation,minilm,25,5,0,20,20
q055,semantic_recommendation,qwen3,25,4,2,19,21
q055,semantic_recommendation,bm25_minilm,37,9,0,28,28
q055,semantic_recommendation,minilm_qwen3,37,8,2,27,29
q055,semantic_recommendation,bm25_minilm_qwen3,48,12,2,34,36
q056,attribute,minilm,25,13,1,11,12
q056,attribute,qwen3,25,14,1,10,11
q056,attribute,bm25_minilm,38,24,1,13,14
q056,attribute,minilm_qwen3,27,15,1,11,12
q056,attribute,bm25_minilm_qwen3,40,26,1,13,14
q057,entity_lexical,minilm,25,19,1,5,6
q057,entity_lexical,qwen3,25,20,1,4,5
q057,entity_lexical,bm25_minilm,38,32,1,5,6
q057,entity_lexical,minilm_qwen3,36,30,1,5,6
q057,entity_lexical,bm25_minilm_qwen3,49,43,1,5,6
q058,semantic_recommendation,minilm,25,4,13,8,21
q058,semantic_recommendation,qwen3,25,8,10,7,17
q058,semantic_recommendation,bm25_minilm,42,14,16,12,28
q058,semantic_recommendation,minilm_qwen3,34,9,16,9,25
q058,semantic_recommendation,bm25_minilm_qwen3,46,17,17,12,29
q059,attribute,minilm,25,12,3,10,13
q059,attribute,qwen3,25,11,2,12,14
q059,attribute,bm25_minilm,42,24,3,15,18
q059,attribute,minilm_qwen3,33,18,3,12,15
q059,attribute,bm25_minilm_qwen3,45,27,3,15,18
q060,entity_lexical,minilm,25,13,6,6,12
q060,entity_lexical,qwen3,25,14,5,6,11
q060,entity_lexical,bm25_minilm,32,17,8,7,15
q060,entity_lexical,minilm_qwen3,30,17,7,6,13
q060,entity_lexical,bm25_minilm_qwen3,36,21,8,7,15
